bpp_range,metric,config_a,config_b,characteristic,correlation,p_value,n,wins_a,wins_b
Medium (1.0-1.5),butteraugli,jpegli-444,mozjpeg-444,variance,0.10063073817834006,0.4868438989548836,50,49,1
Medium (1.0-1.5),butteraugli,jpegli-444,mozjpeg-444,edge_density,0.18602099534864389,0.1958655140066548,50,49,1
Medium (1.0-1.5),butteraugli,jpegli-444,mozjpeg-444,chroma_complexity,-0.2898473224412123,0.041176293217609856,50,49,1
Medium (1.0-1.5),butteraugli,jpegli-444,mozjpeg-444,uniform_block_fraction,-0.3644067874245793,0.00927616997927378,50,49,1
Medium (1.0-1.5),butteraugli,jpegli-444,mozjpeg-420,variance,-0.15942120082837538,0.258942139494844,52,49,3
Medium (1.0-1.5),butteraugli,jpegli-444,mozjpeg-420,edge_density,-0.2595437213472861,0.06315743227873244,52,49,3
Medium (1.0-1.5),butteraugli,jpegli-444,mozjpeg-420,chroma_complexity,-0.2803573209547705,0.04410287673288596,52,49,3
Medium (1.0-1.5),butteraugli,jpegli-444,mozjpeg-420,uniform_block_fraction,-0.09378846582310725,0.5083957668501917,52,49,3
Medium (1.0-1.5),butteraugli,jpegli-420,jpegli-444,variance,0.040062457671401444,0.7208259718411488,82,33,49
Medium (1.0-1.5),butteraugli,jpegli-420,jpegli-444,edge_density,0.298642154529521,0.0064244258033446505,82,33,49
Medium (1.0-1.5),butteraugli,jpegli-420,jpegli-444,chroma_complexity,-0.23606709321585537,0.03274981083709349,82,33,49
Medium (1.0-1.5),butteraugli,jpegli-420,jpegli-444,uniform_block_fraction,-0.2540939617980676,0.02124842336657211,82,33,49
Medium (1.0-1.5),butteraugli,jpegli-420,mozjpeg-444,variance,0.1294314113881877,0.46566139769914566,34,33,1
Medium (1.0-1.5),butteraugli,jpegli-420,mozjpeg-444,edge_density,0.20633925114246748,0.241678069919683,34,33,1
Medium (1.0-1.5),butteraugli,jpegli-420,mozjpeg-444,chroma_complexity,-0.4189423997157956,0.01365959577786122,34,33,1
Medium (1.0-1.5),butteraugli,jpegli-420,mozjpeg-444,uniform_block_fraction,-0.677894868051716,1.0593663608000323e-05,34,33,1
Medium (1.0-1.5),butteraugli,jpegli-420,mozjpeg-420,variance,-0.159783753941932,0.3519218478238193,36,33,3
Medium (1.0-1.5),butteraugli,jpegli-420,mozjpeg-420,edge_density,-0.07678104984059034,0.6562576502109808,36,33,3
Medium (1.0-1.5),butteraugli,jpegli-420,mozjpeg-420,chroma_complexity,-0.4439488754410331,0.006681988098507211,36,33,3
Medium (1.0-1.5),butteraugli,jpegli-420,mozjpeg-420,uniform_block_fraction,-0.3541678501744206,0.03406970043800817,36,33,3
High (1.5-2.0),ssimulacra2,jpegli-420,mozjpeg-420,variance,-0.32638893500982813,0.042571039028506265,39,21,18
High (1.5-2.0),ssimulacra2,jpegli-420,mozjpeg-420,edge_density,-0.2814603292419202,0.0825962763074158,39,21,18
High (1.5-2.0),ssimulacra2,jpegli-420,mozjpeg-420,chroma_complexity,0.15926167643959727,0.3328300437437141,39,21,18
High (1.5-2.0),ssimulacra2,jpegli-420,mozjpeg-420,uniform_block_fraction,-0.015664535996967086,0.9245944924601988,39,21,18
High (1.5-2.0),ssimulacra2,jpegli-420,jpegli-444,variance,-0.17106165656498762,0.19517941605257164,59,21,38
High (1.5-2.0),ssimulacra2,jpegli-420,jpegli-444,edge_density,0.10912052684300685,0.410679824601815,59,21,38
High (1.5-2.0),ssimulacra2,jpegli-420,jpegli-444,chroma_complexity,-0.23730898258769853,0.07033424175238677,59,21,38
High (1.5-2.0),ssimulacra2,jpegli-420,jpegli-444,uniform_block_fraction,-0.1922681265092459,0.144595037456061,59,21,38
High (1.5-2.0),ssimulacra2,jpegli-420,mozjpeg-444,variance,0.051176408595818255,0.7920547042450042,29,21,8
High (1.5-2.0),ssimulacra2,jpegli-420,mozjpeg-444,edge_density,0.2000595564497791,0.29809376245566277,29,21,8
High (1.5-2.0),ssimulacra2,jpegli-420,mozjpeg-444,chroma_complexity,-0.4523603671285641,0.013746778444768973,29,21,8
High (1.5-2.0),ssimulacra2,jpegli-420,mozjpeg-444,uniform_block_fraction,-0.7080516951927821,1.7326260858976902e-05,29,21,8
High (1.5-2.0),ssimulacra2,mozjpeg-420,mozjpeg-444,variance,0.38657175655947423,0.05108132522806236,26,18,8
High (1.5-2.0),ssimulacra2,mozjpeg-420,mozjpeg-444,edge_density,0.31779842805720343,0.11362774459502017,26,18,8
High (1.5-2.0),ssimulacra2,mozjpeg-420,mozjpeg-444,chroma_complexity,-0.6050378882484332,0.001058249832223102,26,18,8
High (1.5-2.0),ssimulacra2,mozjpeg-420,mozjpeg-444,uniform_block_fraction,-0.7141991840305915,4.169901860570966e-05,26,18,8
