z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
25,25,336,jpegli-420,56.547619047619044,190.0,3.0,64.0,4.0,56.547619047619044,0.8928571428571428,19.047619047619047,1.1904761904761905,21.13095238095238,1.1904761904761905,28037.535714285714,33165.67559523809,28406.54761904762,32472.91369047619,57.44047619047619,42.55952380952381
26,26,336,jpegli-420,54.46428571428571,183.0,3.0,69.0,4.0,54.46428571428571,0.8928571428571428,20.535714285714285,1.1904761904761905,21.726190476190478,1.1904761904761905,28432.66369047619,33657.979166666664,28694.071428571428,32894.87797619047,55.357142857142854,44.64285714285714
27,27,336,jpegli-420,55.05952380952381,185.0,3.0,70.0,5.0,55.05952380952381,0.8928571428571428,20.833333333333336,1.488095238095238,20.535714285714285,1.1904761904761905,28914.214285714286,33993.91369047619,29081.934523809523,33466.083333333336,55.952380952380956,44.04761904761905
28,28,336,jpegli-420,59.226190476190474,199.0,3.0,57.0,4.0,59.226190476190474,0.8928571428571428,16.964285714285715,1.1904761904761905,20.833333333333336,0.8928571428571428,29234.241071428572,34487.55059523809,29591.175595238095,33924.955357142855,60.11904761904762,39.88095238095239
29,29,336,jpegli-420,57.738095238095234,194.0,4.0,58.0,5.0,57.738095238095234,1.1904761904761905,17.261904761904763,1.488095238095238,21.428571428571427,0.8928571428571428,29624.71130952381,34921.770833333336,29934.282738095237,34397.294642857145,58.92857142857142,41.07142857142858
30,30,336,jpegli-420,56.845238095238095,191.0,4.0,62.0,3.0,56.845238095238095,1.1904761904761905,18.452380952380953,0.8928571428571428,21.726190476190478,0.8928571428571428,29982.907738095237,35309.53273809524,30387.154761904763,34881.09821428572,58.035714285714285,41.964285714285715
31,31,336,jpegli-420,55.35714285714286,186.0,3.0,66.0,3.0,55.35714285714286,0.8928571428571428,19.642857142857142,0.8928571428571428,22.61904761904762,0.5952380952380952,30680.690476190477,35884.494047619046,30868.279761904763,35338.91071428572,56.25000000000001,43.75
32,32,336,jpegli-420,58.03571428571429,195.0,3.0,55.0,3.0,58.03571428571429,0.8928571428571428,16.36904761904762,0.8928571428571428,22.916666666666664,0.8928571428571428,30938.39880952381,36352.91369047619,31379.0,35828.794642857145,58.92857142857144,41.07142857142858
33,33,336,jpegli-420,53.273809523809526,179.0,4.0,68.0,1.0,53.273809523809526,1.1904761904761905,20.238095238095237,0.2976190476190476,24.107142857142858,0.8928571428571428,31594.20535714286,36706.90773809524,31712.553571428572,36520.42857142857,54.464285714285715,45.535714285714285
34,34,336,jpegli-420,53.86904761904761,181.0,2.0,67.0,2.0,53.86904761904761,0.5952380952380952,19.940476190476193,0.5952380952380952,24.107142857142858,0.8928571428571428,31968.324404761905,37312.65476190476,32278.502976190477,37019.583333333336,54.46428571428571,45.53571428571429
35,35,336,jpegli-420,52.38095238095239,176.0,2.0,71.0,3.0,52.38095238095239,0.5952380952380952,21.13095238095238,0.8928571428571428,24.107142857142858,0.8928571428571428,32535.127976190477,37823.333333333336,32787.416666666664,37631.017857142855,52.97619047619048,47.023809523809526
36,36,336,jpegli-420,52.083333333333336,175.0,2.0,74.0,2.0,52.083333333333336,0.5952380952380952,22.023809523809522,0.5952380952380952,23.511904761904763,1.1904761904761905,33085.61011904762,38306.15178571428,33160.58928571428,38168.732142857145,52.67857142857143,47.32142857142857
37,37,336,jpegli-420,54.166666666666664,182.0,2.0,67.0,2.0,54.166666666666664,0.5952380952380952,19.940476190476193,0.5952380952380952,23.511904761904763,1.1904761904761905,33636.47023809524,39077.01190476191,33762.767857142855,38957.26488095238,54.76190476190476,45.23809523809524
38,38,336,jpegli-420,51.19047619047619,172.0,2.0,76.0,2.0,51.19047619047619,0.5952380952380952,22.61904761904762,0.5952380952380952,24.107142857142858,0.8928571428571428,34234.02678571428,39662.83928571428,34357.86309523809,39479.51488095238,51.785714285714285,48.214285714285715
39,39,336,jpegli-420,49.107142857142854,165.0,2.0,78.0,1.0,49.107142857142854,0.5952380952380952,23.214285714285715,0.2976190476190476,25.892857142857146,0.8928571428571428,34944.23511904762,40170.30952380953,34823.931547619046,40275.645833333336,49.70238095238095,50.29761904761906
40,40,336,jpegli-420,52.38095238095239,176.0,2.0,71.0,2.0,52.38095238095239,0.5952380952380952,21.13095238095238,0.5952380952380952,24.107142857142858,1.1904761904761905,35511.57440476191,40827.41369047619,35486.66369047619,40889.40773809524,52.97619047619048,47.02380952380952
41,41,336,jpegli-420,53.86904761904761,181.0,2.0,63.0,2.0,53.86904761904761,0.5952380952380952,18.75,0.5952380952380952,25.297619047619047,0.8928571428571428,36210.81547619047,41462.00297619047,36196.3125,41658.58928571428,54.46428571428571,45.535714285714285
42,42,336,jpegli-420,51.488095238095234,173.0,3.0,66.0,2.0,51.488095238095234,0.8928571428571428,19.642857142857142,0.5952380952380952,26.190476190476193,1.1904761904761905,36942.38392857143,42210.369047619046,36914.505952380954,42269.07440476191,52.38095238095238,47.61904761904762
43,43,336,jpegli-420,54.46428571428571,183.0,2.0,64.0,2.0,54.46428571428571,0.5952380952380952,19.047619047619047,0.5952380952380952,24.107142857142858,1.1904761904761905,37572.76190476191,43048.91369047619,37539.72321428572,43107.5,55.0595238095238,44.94047619047619
44,44,336,jpegli-420,51.488095238095234,173.0,3.0,69.0,2.0,51.488095238095234,0.8928571428571428,20.535714285714285,0.5952380952380952,25.297619047619047,1.1904761904761905,38497.244047619046,43627.41071428572,38323.642857142855,44112.49702380953,52.38095238095238,47.61904761904762
45,45,336,jpegli-420,52.976190476190474,178.0,4.0,63.0,2.0,52.976190476190474,1.1904761904761905,18.75,0.5952380952380952,25.595238095238095,0.8928571428571428,39253.82142857143,44463.99107142857,39046.79761904762,45090.693452380954,54.166666666666664,45.833333333333336
46,46,336,jpegli-420,52.67857142857143,177.0,5.0,64.0,2.0,52.67857142857143,1.488095238095238,19.047619047619047,0.5952380952380952,25.0,1.1904761904761905,40107.22321428572,45489.75892857143,39898.59821428572,45869.45238095238,54.16666666666667,45.83333333333333
47,47,336,jpegli-420,51.488095238095234,173.0,5.0,69.0,2.0,51.488095238095234,1.488095238095238,20.535714285714285,0.5952380952380952,25.0,0.8928571428571428,40950.08630952381,46249.88392857143,40778.34523809524,46775.22619047619,52.976190476190474,47.023809523809526
48,48,336,jpegli-420,52.67857142857143,177.0,5.0,66.0,2.0,52.67857142857143,1.488095238095238,19.642857142857142,0.5952380952380952,24.404761904761905,1.1904761904761905,41916.32440476191,46939.12202380953,41738.94940476191,47842.005952380954,54.16666666666667,45.83333333333333
49,49,336,jpegli-420,53.273809523809526,179.0,4.0,62.0,2.0,53.273809523809526,1.1904761904761905,18.452380952380953,0.5952380952380952,25.297619047619047,1.1904761904761905,43035.35119047619,48116.255952380954,42683.8125,48911.75,54.464285714285715,45.535714285714285
50,50,336,jpegli-420,47.91666666666667,161.0,5.0,69.0,2.0,47.91666666666667,1.488095238095238,20.535714285714285,0.5952380952380952,28.273809523809522,1.1904761904761905,44031.90773809524,49063.59226190476,43668.270833333336,50077.48809523809,49.40476190476191,50.59523809523809
51,51,336,jpegli-420,53.57142857142857,180.0,4.0,56.0,2.0,53.57142857142857,1.1904761904761905,16.666666666666664,0.5952380952380952,27.083333333333332,0.8928571428571428,45154.669642857145,49982.45238095238,44733.09821428572,51245.32440476191,54.76190476190476,45.238095238095234
52,52,336,jpegli-420,53.86904761904761,181.0,4.0,60.0,2.0,53.86904761904761,1.1904761904761905,17.857142857142858,0.5952380952380952,25.297619047619047,1.1904761904761905,46255.330357142855,51123.30357142857,45655.23511904762,52494.31547619047,55.0595238095238,44.94047619047619
53,53,336,jpegli-420,53.273809523809526,179.0,4.0,66.0,2.0,53.273809523809526,1.1904761904761905,19.642857142857142,0.5952380952380952,24.404761904761905,0.8928571428571428,47560.33928571428,52209.79761904762,46903.10119047619,53803.49107142857,54.464285714285715,45.535714285714285
54,54,336,jpegli-420,54.166666666666664,182.0,4.0,58.0,3.0,54.166666666666664,1.1904761904761905,17.261904761904763,0.8928571428571428,25.892857142857146,0.5952380952380952,48724.21130952381,53481.35119047619,48091.056547619046,54992.53869047619,55.357142857142854,44.642857142857146
55,55,336,jpegli-420,48.214285714285715,162.0,4.0,73.0,2.0,48.214285714285715,1.1904761904761905,21.726190476190478,0.5952380952380952,27.67857142857143,0.5952380952380952,50160.44047619047,54718.30059523809,49429.15476190476,56665.056547619046,49.404761904761905,50.595238095238095
