z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
21,0.013220304667031479,336,mozjpeg-420,37.202380952380956,108,4,125,4,32.142857142857146,1.1904761904761905,37.202380952380956,1.1904761904761905,26.785714285714285,1.488095238095238,32162.467261904763,36543.63988095238,31701.372023809523,37271.857142857145,33.333333333333336,66.66666666666667
22,0.012882423721080597,336,mozjpeg-420,35.714285714285715,101,4,120,4,30.059523809523807,1.1904761904761905,35.714285714285715,1.1904761904761905,30.357142857142854,1.488095238095238,32780.82142857143,37126.37797619047,32240.083333333332,37730.29761904762,31.249999999999996,68.75
23,0.012553178244319873,336,mozjpeg-420,37.797619047619044,106,4,127,4,31.547619047619047,1.1904761904761905,37.797619047619044,1.1904761904761905,26.785714285714285,1.488095238095238,33461.244047619046,37636.10119047619,32638.270833333332,38448.25,32.73809523809524,67.26190476190476
24,0.012232347533779732,336,mozjpeg-420,37.797619047619044,91,4,127,6,27.083333333333332,1.1904761904761905,37.797619047619044,1.7857142857142856,30.654761904761905,1.488095238095238,33988.3125,38203.30059523809,33237.369047619046,39280.458333333336,28.273809523809522,71.72619047619048
25,0.011919716527156985,336,mozjpeg-420,38.392857142857146,85,4,129,4,25.297619047619047,1.1904761904761905,38.392857142857146,1.1904761904761905,32.142857142857146,1.7857142857142856,34413.05059523809,38753.005952380954,33784.232142857145,39847.669642857145,26.488095238095237,73.51190476190477
26,0.011615075658652212,336,mozjpeg-420,36.01190476190476,94,4,121,4,27.976190476190478,1.1904761904761905,36.01190476190476,1.1904761904761905,31.845238095238095,1.7857142857142856,34977.19642857143,39434.92857142857,34292.58928571428,40347.755952380954,29.166666666666668,70.83333333333333
27,0.011318220718491616,336,mozjpeg-420,36.607142857142854,99,4,123,4,29.464285714285715,1.1904761904761905,36.607142857142854,1.1904761904761905,29.761904761904763,1.7857142857142856,35598.8125,40154.744047619046,34757.43452380953,40978.17857142857,30.654761904761905,69.3452380952381
28,0.01102895271603918,336,mozjpeg-420,36.30952380952381,96,5,122,3,28.57142857142857,1.488095238095238,36.30952380952381,0.8928571428571428,30.952380952380953,1.7857142857142856,36293.06547619047,40639.517857142855,35332.42559523809,41543.03273809524,30.059523809523807,69.9404761904762
29,0.01074707774640736,336,mozjpeg-420,36.904761904761905,93,3,124,3,27.67857142857143,0.8928571428571428,36.904761904761905,0.8928571428571428,31.845238095238095,1.7857142857142856,36844.892857142855,41044.645833333336,35704.130952380954,42394.568452380954,28.571428571428573,71.42857142857143
30,0.010472406860476926,336,mozjpeg-420,37.5,88,4,126,3,26.190476190476193,1.1904761904761905,37.5,0.8928571428571428,32.142857142857146,2.083333333333333,37545.85119047619,41706.97023809524,36344.67261904762,43393.36309523809,27.380952380952383,72.61904761904762
31,0.010204755938238762,336,mozjpeg-420,39.285714285714285,89,4,132,4,26.488095238095237,1.1904761904761905,39.285714285714285,1.1904761904761905,29.761904761904763,2.083333333333333,38157.16071428572,42550.38690476191,36951.044642857145,44016.955357142855,27.678571428571427,72.32142857142857
