z,target,images_analyzed,winner,winner_pct,jpegli_420_wins,jpegli_444_wins,mozjpeg_420_wins,mozjpeg_444_wins,jpegli_420_pct,jpegli_444_pct,mozjpeg_420_pct,mozjpeg_444_pct,mozjpeg_max_420_pct,mozjpeg_max_444_pct,jpegli_420_mean_size,jpegli_444_mean_size,mozjpeg_420_mean_size,mozjpeg_444_mean_size,jpegli_total_pct,mozjpeg_total_pct
27,6.10915996103088,336,jpegli-420,41.07142857142857,138,23,90,11,41.07142857142857,6.845238095238096,26.785714285714285,3.273809523809524,18.75,3.273809523809524,36744.69486404834,38573.875,39043.64848484848,41280.33630952381,47.916666666666664,52.083333333333336
28,6.023565006486934,336,jpegli-420,39.285714285714285,132,24,92,9,39.285714285714285,7.142857142857142,27.380952380952383,2.6785714285714284,19.940476190476193,3.571428571428571,37419.818731117826,39005.02976190476,39611.70303030303,42063.15476190476,46.42857142857143,53.57142857142857
29,5.939169316046417,336,jpegli-420,39.58333333333333,133,26,87,9,39.58333333333333,7.738095238095238,25.892857142857146,2.6785714285714284,20.238095238095237,3.869047619047619,38304.954682779455,39514.99107142857,40445.30606060606,42694.1875,47.32142857142857,52.67857142857143
30,5.855956086915319,336,jpegli-420,38.392857142857146,129,25,90,6,38.392857142857146,7.440476190476191,26.785714285714285,1.7857142857142856,21.726190476190478,3.869047619047619,38842.244712990934,40221.09226190476,41172.41515151515,43579.33630952381,45.833333333333336,54.16666666666667
31,5.773908751722236,336,jpegli-420,39.285714285714285,132,21,89,7,39.285714285714285,6.25,26.488095238095237,2.083333333333333,21.13095238095238,4.761904761904762,39456.68277945619,40886.60119047619,40491.44984802431,44547.78273809524,45.535714285714285,54.46428571428571
32,5.693010975219891,336,jpegli-420,40.17857142857143,135,22,87,9,40.17857142857143,6.547619047619048,25.892857142857146,2.6785714285714284,21.13095238095238,3.571428571428571,38409.37272727273,41358.080357142855,41953.61094224924,45432.37797619047,46.72619047619048,53.27380952380952
33,5.613246651032854,336,jpegli-420,39.58333333333333,133,26,87,8,39.58333333333333,7.738095238095238,25.892857142857146,2.380952380952381,21.428571428571427,2.976190476190476,39166.71428571428,42001.18452380953,42815.495440729486,46164.58630952381,47.32142857142857,52.67857142857142
34,5.5345998984508435,336,jpegli-420,38.98809523809524,131,30,88,8,38.98809523809524,8.928571428571429,26.190476190476193,2.380952380952381,20.535714285714285,2.976190476190476,39954.68292682927,42707.32440476191,44326.489296636086,47406.89880952381,47.91666666666667,52.083333333333336
35,5.457055059266949,336,jpegli-420,38.98809523809524,131,39,90,5,38.98809523809524,11.607142857142858,26.785714285714285,1.488095238095238,17.559523809523807,3.571428571428571,40742.53048780488,43181.494047619046,45154.66360856269,48307.12202380953,50.5952380952381,49.4047619047619
36,5.380596694660149,336,jpegli-420,36.607142857142854,123,38,91,7,36.607142857142854,11.30952380952381,27.083333333333332,2.083333333333333,19.345238095238095,3.571428571428571,41838.48170731707,44036.666666666664,47235.449541284404,49074.82142857143,47.916666666666664,52.08333333333333
